Zipcode,Heated_Area,Year_of_Measurement,Percentage_Renewable_Energy,CO2,Year_of_Construction,Utilization_mixed,Utilization_commercial,Utilization_residential,Utilization_other,Energy_Source_biomass,Energy_Source_district heating,Energy_Source_gas,Energy_Source_gas renewable,Energy_Source_elictricity,Energy_Source_elictricity renewable,Energy_Source_woodchips,Energy_Source_pellets,Energy_Source_solar panel,Energy_Source_oil,Energy_Source_heat pump,Canton_Aargau,Canton_Appenzell Ausserrhoden,Canton_Appenzell Innerrhoden,Canton_Basel-Landschaft,Canton_Basel-Stadt,Canton_Bern,Canton_Freiburg,Canton_Genf,Canton_Glarus,Canton_Graubuenden,Canton_Jura,Canton_Luzern,Canton_Neuenburg,Canton_Nidwalden,Canton_Obwalden,Canton_Schaffhausen,Canton_Schwyz,Canton_Solothurn,Canton_St. Gallen,Canton_Tessin,Canton_Thurgau,Canton_Uri,Canton_Waadt,Canton_Wallis,Canton_Zug,Canton_Zuerich
5000,2358.46,2018,0.4583,0.435886838,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2358.46,2019,0.4583,0.454753275,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2358.46,2020,0.4583,0.459411257,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2358.46,2017,0.0,29.2424689,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2358.46,2018,0.0,27.43041938,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2358.46,2019,0.0,27.98634661,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,2358.46,2020,0.0,19.08164907,1959,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2017,0.4583,0.31163277,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2018,0.4583,0.385744855,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2019,0.4583,0.446923448,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2020,0.4583,0.432091038,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2017,0.0,8.25632499,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2018,0.0,9.234040317,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2019,0.0,8.800758504,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2020,0.0,7.338982487,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,11041.8,2020,0.379310345,2.212706245,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
